id,application,role,user_goal,route_or_screen,linked_api,states_loading_empty_error_denied_offline,auth_requirement,source_evidence,runtime_screenshot,status,roadmap_expectation,gap,design_token_family,a11y_evidence_limit
AUTH-GUEST-REDIR,Public Web,guest,Blocked cabinet access,/[locale]/dashboard → login?next=,middleware,307 redirect,guest,runtime headers,evidence/web/auth/11_guest_dashboard_redirect_en_desktop.png,WORKS,Fail-closed guest,none,auth,screenshot
AUTH-RESET,Public Web,guest,Recover password,N/A,N/A,missing,guest,route inventory,none,NOT_IMPLEMENTED,Recovery UX,No /reset or forgot-password page on current main,n/a,n/a
CAB-DASH,Tenant Cabinet,manager+,Ops overview,/[locale]/dashboard,/api/v1/dashboard/*,loading/onboarding/modal,synthetic smoke staging,DashboardShell,evidence/_local_unpublishable_staging/cabinet/22_dashboard_en_desktop.png + 34/35/38,PARTIAL,Pilot cockpit,Welcome modal + dense onboarding compete with ops content,aistroyka cabinet,screenshot only
CAB-PROJECTS,Tenant Cabinet,manager+,List projects,/[locale]/dashboard/projects,/api/v1/projects,list,synthetic smoke,projects page,evidence/_local_unpublishable_staging/cabinet/23_projects_en_desktop.png,WORKS,Project list,Modal can block Open clicks,aistroyka,screenshot
CAB-PROJECT-DETAIL,Tenant Cabinet,manager+,Operate one project,/[locale]/dashboard/projects/[id],/api/v1/projects/[id]/*,tabs/loading,synthetic smoke,DashboardProjectDetailClient,evidence/_local_unpublishable_staging/cabinet/36_project_detail_en_desktop.png,PARTIAL,Project cockpit,Dual tab bars; Costs/Estimate adjacent to ops tabs,aistroyka,screenshot
CAB-TASKS,Tenant Cabinet,manager+,Manage tasks,/[locale]/dashboard/tasks,/api/v1/tasks,list/empty,synthetic smoke,tasks page,evidence/_local_unpublishable_staging/cabinet/24_tasks_en_desktop.png,WORKS,Task workflow,Task detail deep link not captured (no links),aistroyka,screenshot
CAB-REPORTS,Tenant Cabinet,manager+,Review reports,/[locale]/dashboard/reports,/api/v1/reports,list/filters,synthetic smoke,reports page,evidence/_local_unpublishable_staging/cabinet/25_reports_en_desktop.png,WORKS,Report review,Approve/reject path not fully exercised,aistroyka,screenshot
CAB-APPROVALS,Tenant Cabinet,manager+,Clear pending approvals,/[locale]/dashboard/approvals,GET /api/v1/approvals/pending,skeleton/empty/error,synthetic smoke,approvals page,evidence/_local_unpublishable_staging/cabinet/26_approvals_en_desktop.png,WORKS,Approvals inbox,Empty/pending nuance screenshot-limited,aistroyka,screenshot
CAB-UPLOADS,Tenant Cabinet,manager+,Media library,/[locale]/dashboard/uploads,media upload APIs,list,synthetic smoke,uploads page,evidence/_local_unpublishable_staging/cabinet/27_uploads_en_desktop.png,WORKS,Evidence library,Upload mutation not exercised,aistroyka,screenshot
CAB-SUPPORT,Tenant Cabinet,member,Get help,/[locale]/dashboard/support,/api/v1/support/tickets,form,synthetic smoke,support page,evidence/_local_unpublishable_staging/cabinet/29_support_en_desktop.png,WORKS,Support,none critical,aistroyka,screenshot
CAB-NOTIF,Tenant Cabinet,member,See notifications,/[locale]/dashboard/notifications,notifications APIs,list,synthetic smoke,notifications page,evidence/_local_unpublishable_staging/cabinet/30_notifications_en_desktop.png,WORKS,Alerts inbox,none critical,aistroyka,screenshot
CAB-DECISIONS,Tenant Cabinet,manager+,Change orders/decisions,/[locale]/dashboard/projects/[id]?tab=decisions,change-orders APIs,tab,synthetic smoke,project tabs,evidence/_local_unpublishable_staging/cabinet/42_change_orders_entry_en_desktop.png,PARTIAL,CO workflow,Dedicated CO detail not captured,aistroyka,screenshot
PORTAL-LIST,Client Portal,stakeholder,See invited projects,/[locale]/portal/projects,GET /api/v1/portal/projects,loading/empty/error,synthetic smoke,PortalProjectsListClient,evidence/_local_unpublishable_staging/portal/31_portal_projects_en_desktop.png,PARTIAL,Portal entry,Uses dashboard shell; empty/partial for smoke,aistroyka cabinet,screenshot
PORTAL-CLIENT,Client Portal,client/owner,Customer-safe project view,/[locale]/dashboard/projects/[id]/client,GET .../client-view,loading skeleton + onboarding,synthetic smoke,ClientPortalViewClient,evidence/_local_unpublishable_staging/portal/39_client_portal_view_en_desktop.png,PARTIAL,Customer finance-safe portal,Client onboarding CTA Create first task + full contractor sidebar visible in this capture,aistroyka,screenshot; finance fields not proven absent via DOM
ADM-TENANT,Admin/Operator,tenant admin,Ops control center,/[locale]/admin,admin APIs,loaded,synthetic smoke,admin/page.tsx,evidence/_local_unpublishable_staging/admin/32_admin_en_desktop.png,WORKS,Tenant admin,Dense English-heavy ops UI risk,aistroyka,screenshot
ADM-AI,AI Cabinet,tenant admin,AI observability,/[locale]/admin/ai,/api/v1/admin/ai/*,loaded,synthetic smoke,AdminAiOverviewClient,evidence/_local_unpublishable_staging/ai/33_admin_ai_en_desktop.png,WORKS,AI admin,LIVE claim must stay honest,aistroyka,screenshot
ADM-PLATFORM,Platform Admin,platform owner,Platform overview,/[locale]/platform-admin,/api/v1/platform/*,Forbidden for non-owner,platform_owner_grants,layout guard,evidence/_local_unpublishable_staging/admin/37_platform_admin_en_desktop.png,BLOCKED_EXTERNAL,Owner-only,Smoke account correctly denied; Operations Center not captured,platform-admin shell,Forbidden page only
ADM-OPS,Platform Admin,platform owner,Operations Center RO,/[locale]/platform-admin/testing,safe-audit APIs RO,Forbidden,platform owner,PlatformAdminTestingClient,evidence/_local_unpublishable_staging/admin/43_platform_admin_testing_en_desktop.png,BLOCKED_EXTERNAL,Read-only ops dashboard,No authorized owner session in this audit,platform-admin,Forbidden page only
AI-LIST,AI Cabinet,manager+,See AI jobs,/[locale]/dashboard/ai,/api/v1/ai/requests,empty/error + modal,synthetic smoke,dashboard/ai,evidence/_local_unpublishable_staging/ai/28_dashboard_ai_en_desktop.png,PARTIAL,Honest AI states,Welcome modal overlays; incomplete analysis message present; not LIVE,aistroyka,screenshot
IOS-WORKER-ONB,iOS Worker,field worker,Onboard then login,WorkerOnboardingView,local,onboarding + system permission overlay,none local,AiStroykaWorker.app on sim,evidence/ios/worker/40_worker_launch.png + 45_*,PARTIAL,Worker primary path,Notification permission interrupts onboarding; authenticated path blocked,WorkerSemanticColors,screenshot; Dynamic Type not proven
IOS-WORKER-AUTH,iOS Worker,field worker,Capture/report/chat,Home/Report/TaskChat,worker APIs + sync,not captured,E2E creds missing,code inventory,none,BLOCKED_EXTERNAL,Pilot Worker path,No UITest creds; no remote fixtures,WorkerSemanticColors,n/a
IOS-MANAGER,iOS Manager,manager,Approve/report/tasks,ManagerTabShell,manager APIs,not captured,sim app unavailable,code inventory ManagerTabShell,none,BLOCKED_EXTERNAL,Pilot Manager path,Manager.app only on unavailable sim runtime; did not boot foreign device,ManagerSemanticColors,n/a
AND-DEFER,Android deferred,n/a,Inventory only,Compose scaffolds,shared API clients,scaffold,n/a,android/* code,none,DEFERRED,Post-pilot,No parity commitment,MaterialTheme wrappers + drift,n/a
SCIM,Admin/Operator,IdP admin,Provision users,/api/v1/scim/*,501 stub,not implemented,SCIM_ENABLED,scim.stub.ts,none,NOT_IMPLEMENTED,Post-pilot R9,API stub only no UI,n/a,n/a
