id,kind,labelText,pageRoute,target,sourceFile,line,notes
generated.apps.web.app.locale.dashboard.admin.billing.pilot.AdminBillingPilotClient.tsx.fallback.214,button,,/{locale}/admin/billing-pilot,onClick=,apps/web/app/[locale]/(dashboard)/admin/billing-pilot/AdminBillingPilotClient.tsx,214,fallback text scan
generated.apps.web.app.locale.dashboard.admin.billing.pilot.page.tsx.15,Link,← Admin,/{locale}/admin/billing-pilot,/admin,apps/web/app/[locale]/(dashboard)/admin/billing-pilot/page.tsx,15,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.governance.CurrentCalibration.tsx.63,button,showExplain ? tDetail(hide) : tDetail(whyTheseThresholds),/{locale}/admin/governance,() => setShowExplain((v) => !v),apps/web/app/[locale]/(dashboard)/admin/governance/CurrentCalibration.tsx,63,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.governance.GovernanceAlerts.tsx.73,iconButton,$tDetail(markReviewed): $ev.event_type,/{locale}/admin/governance,() => handleAck(ev.id),apps/web/app/[locale]/(dashboard)/admin/governance/GovernanceAlerts.tsx,73,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.governance.GovernanceAlerts.tsx.fallback.77,button,,/{locale}/admin/governance,onClick=,apps/web/app/[locale]/(dashboard)/admin/governance/GovernanceAlerts.tsx,77,fallback text scan
generated.apps.web.app.locale.dashboard.admin.governance.page.tsx.68,Link,tPage(backToAdmin),/{locale}/admin/governance,/admin,apps/web/app/[locale]/(dashboard)/admin/governance/page.tsx,68,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.jobs.AdminJobsClient.tsx.97,button,tDetail(exportCsv),/{locale}/admin/jobs,exportCsv,apps/web/app/[locale]/(dashboard)/admin/jobs/AdminJobsClient.tsx,97,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.jobs.AdminJobsClient.tsx.134,button,r.id,/{locale}/admin/jobs,() => navigator.clipboard.writeText(r.id),apps/web/app/[locale]/(dashboard)/admin/jobs/AdminJobsClient.tsx,134,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.jobs.AdminJobsClient.tsx.fallback.136,button,,/{locale}/admin/jobs,onClick=,apps/web/app/[locale]/(dashboard)/admin/jobs/AdminJobsClient.tsx,136,fallback text scan
generated.apps.web.app.locale.dashboard.admin.leads.id.AdminLeadDetailClient.tsx.96,Link,tDetail(backToLeads),/{locale}/admin/leads/:id,/admin/leads,apps/web/app/[locale]/(dashboard)/admin/leads/[id]/AdminLeadDetailClient.tsx,96,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.leads.id.AdminLeadDetailClient.tsx.113,Link,tDetail(backToLeads),/{locale}/admin/leads/:id,/admin/leads,apps/web/app/[locale]/(dashboard)/admin/leads/[id]/AdminLeadDetailClient.tsx,113,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.leads.id.AdminLeadDetailClient.tsx.175,button,tDetail(save),/{locale}/admin/leads/:id,handleSave,apps/web/app/[locale]/(dashboard)/admin/leads/[id]/AdminLeadDetailClient.tsx,175,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.leads.AdminLeadsClient.tsx.131,Link,tDetail(view),/{locale}/admin/leads,`/admin/leads/${row.id}`,apps/web/app/[locale]/(dashboard)/admin/leads/AdminLeadsClient.tsx,131,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.leads.page.tsx.12,Link,tPage(backToAdmin),/{locale}/admin/leads,/admin,apps/web/app/[locale]/(dashboard)/admin/leads/page.tsx,12,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.page.tsx.57,Link,tDetail(contactLeadsArrow),/{locale}/admin,/admin/leads,apps/web/app/[locale]/(dashboard)/admin/page.tsx,57,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.page.tsx.58,Link,tDetail(aiGovernanceAuditArrow),/{locale}/admin,/admin/governance,apps/web/app/[locale]/(dashboard)/admin/page.tsx,58,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.page.tsx.59,Link,tDetail(aiTrustDashboardArrow),/{locale}/admin,/admin/trust,apps/web/app/[locale]/(dashboard)/admin/page.tsx,59,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.push.AdminPushOutboxClient.tsx.104,button,tDetail(exportCsv),/{locale}/admin/push,exportCsv,apps/web/app/[locale]/(dashboard)/admin/push/AdminPushOutboxClient.tsx,104,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.push.AdminPushOutboxClient.tsx.147,button,"r.id.slice(0, 8) …",/{locale}/admin/push,() => navigator.clipboard.writeText(r.id),apps/web/app/[locale]/(dashboard)/admin/push/AdminPushOutboxClient.tsx,147,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.push.AdminPushOutboxClient.tsx.fallback.149,button,,/{locale}/admin/push,onClick=,apps/web/app/[locale]/(dashboard)/admin/push/AdminPushOutboxClient.tsx,149,fallback text scan
generated.apps.web.app.locale.dashboard.admin.system.page.tsx.22,Link,tDetail(backToAdminShort),/{locale}/admin/system,/admin,apps/web/app/[locale]/(dashboard)/admin/system/page.tsx,22,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.system.page.tsx.39,Link,tDetail(backToAdminShort),/{locale}/admin/system,/admin,apps/web/app/[locale]/(dashboard)/admin/system/page.tsx,39,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.trust.page.tsx.58,Link,tDetail(backToAdminShort),/{locale}/admin/trust,/admin,apps/web/app/[locale]/(dashboard)/admin/trust/page.tsx,58,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.trust.TrustActions.tsx.14,Link,tDetail(openGovernance),/{locale}/admin/trust,/admin/governance,apps/web/app/[locale]/(dashboard)/admin/trust/TrustActions.tsx,14,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.trust.TrustActions.tsx.22,Link,tDetail(openOrgPortfolioDashboard),/{locale}/admin/trust,/portfolio,apps/web/app/[locale]/(dashboard)/admin/trust/TrustActions.tsx,22,generated id; no data-testid
generated.apps.web.app.locale.dashboard.billing.cancel.page.tsx.20,Link,← Back to Billing,/{locale}/billing/cancel,copy.backHref,apps/web/app/[locale]/(dashboard)/billing/cancel/page.tsx,20,generated id; no data-testid
generated.apps.web.app.locale.dashboard.billing.return.page.tsx.21,Link,← Back to Billing,/{locale}/billing/return,copy.backHref,apps/web/app/[locale]/(dashboard)/billing/return/page.tsx,21,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.ai.id.page.tsx.40,button,copied ? copiedLabel : label,/{locale}/dashboard/ai/:id,copy,apps/web/app/[locale]/(dashboard)/dashboard/ai/[id]/page.tsx,40,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.ai.id.page.tsx.97,Link,tDetail(backToAi),/{locale}/dashboard/ai/:id,/dashboard/ai,apps/web/app/[locale]/(dashboard)/dashboard/ai/[id]/page.tsx,97,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.ai.id.page.tsx.106,Link,tDetail(aiShort),/{locale}/dashboard/ai/:id,/dashboard/ai,apps/web/app/[locale]/(dashboard)/dashboard/ai/[id]/page.tsx,106,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.ai.DashboardAIClient.tsx.154,button,tDetail(exportCsv),/{locale}/dashboard/ai,exportCsv,apps/web/app/[locale]/(dashboard)/dashboard/ai/DashboardAIClient.tsx,154,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.ai.DashboardAIClient.tsx.182,Link,tDetail(view),/{locale}/dashboard/ai,`/dashboard/ai/${r.id}`,apps/web/app/[locale]/(dashboard)/dashboard/ai/DashboardAIClient.tsx,182,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.alerts.DashboardAlertsClient.tsx.router-push.35,button,,/{locale}/dashboard/alerts,"router.push(setTimeout(() => {
          const hash = window.location.hash;
          if (!hash.startsWith(""#alert-"")) return;
          const el = document.getElementById(hash.slice(1));
          if (el) {
            el.scrollIntoView({ behavior: ""smooth"", block: ""start"" });
            scrolledRef.current = true;
          }
        }, ms))",apps/web/app/[locale]/(dashboard)/dashboard/alerts/DashboardAlertsClient.tsx,35,fallback router.push call; source CTA may be nearby
generated.apps.web.app.locale.dashboard.dashboard.approvals.DashboardApprovalsClient.tsx.72,Link,tDetail(viewAllReportsArrow),/{locale}/dashboard/approvals,/dashboard/reports,apps/web/app/[locale]/(dashboard)/dashboard/approvals/DashboardApprovalsClient.tsx,72,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.approvals.DashboardApprovalsClient.tsx.91,Link,,/{locale}/dashboard/approvals,"item.kind === ""report""
                  ? `/dashboard/reports/${item.id}`
                  : `/dashboard/projects/${item.project_id ?? """"}?tab=documents`",apps/web/app/[locale]/(dashboard)/dashboard/approvals/DashboardApprovalsClient.tsx,91,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.approvals.DashboardApprovalsClient.tsx.130,Link,tDetail(viewAllReportsArrow),/{locale}/dashboard/approvals,/dashboard/reports,apps/web/app/[locale]/(dashboard)/dashboard/approvals/DashboardApprovalsClient.tsx,130,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.daily.reports.id.page.tsx.47,button,copied ? copiedLabel : label,/{locale}/dashboard/daily-reports/:id,copy,apps/web/app/[locale]/(dashboard)/dashboard/daily-reports/[id]/page.tsx,47,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.daily.reports.id.page.tsx.113,Link,tDetail(backToReports),/{locale}/dashboard/daily-reports/:id,/dashboard/daily-reports,apps/web/app/[locale]/(dashboard)/dashboard/daily-reports/[id]/page.tsx,113,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.daily.reports.id.page.tsx.122,Link,tDetail(reports),/{locale}/dashboard/daily-reports/:id,/dashboard/daily-reports,apps/web/app/[locale]/(dashboard)/dashboard/daily-reports/[id]/page.tsx,122,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.daily.reports.id.page.tsx.158,Link,"data.user_id.slice(0, 8) …",/{locale}/dashboard/daily-reports/:id,`/dashboard/workers/${data.user_id}`,apps/web/app/[locale]/(dashboard)/dashboard/daily-reports/[id]/page.tsx,158,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.daily.reports.id.page.tsx.212,Link,"tDetail(media) m.media_id.slice(0, 8) …",/{locale}/dashboard/daily-reports/:id,/dashboard/uploads,apps/web/app/[locale]/(dashboard)/dashboard/daily-reports/[id]/page.tsx,212,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.daily.reports.DashboardReportsClient.tsx.175,button,tDetail(exportCsv),/{locale}/dashboard/daily-reports,exportCsv,apps/web/app/[locale]/(dashboard)/dashboard/daily-reports/DashboardReportsClient.tsx,175,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.daily.reports.DashboardReportsClient.tsx.194,Link,r.id,/{locale}/dashboard/daily-reports,`${basePath}/${r.id}`,apps/web/app/[locale]/(dashboard)/dashboard/daily-reports/DashboardReportsClient.tsx,194,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.daily.reports.DashboardReportsClient.tsx.214,Link,r.user_id,/{locale}/dashboard/daily-reports,`/dashboard/workers/${r.user_id}`,apps/web/app/[locale]/(dashboard)/dashboard/daily-reports/DashboardReportsClient.tsx,214,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.daily.reports.DashboardReportsClient.tsx.220,Link,r.project_id,/{locale}/dashboard/daily-reports,`/dashboard/projects/${r.project_id}`,apps/web/app/[locale]/(dashboard)/dashboard/daily-reports/DashboardReportsClient.tsx,220,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.daily.reports.DashboardReportsClient.tsx.237,Link,tDetail(view),/{locale}/dashboard/daily-reports,`${basePath}/${r.id}`,apps/web/app/[locale]/(dashboard)/dashboard/daily-reports/DashboardReportsClient.tsx,237,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardAIOperatingCenterClient.tsx.70,Link,k.tasks_overdue ?? 0,/{locale}/dashboard,/dashboard/tasks?status=pending,apps/web/app/[locale]/(dashboard)/dashboard/DashboardAIOperatingCenterClient.tsx,70,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardAIOperatingCenterClient.tsx.79,Link,k.tasks_open_today ?? 0,/{locale}/dashboard,/dashboard/tasks,apps/web/app/[locale]/(dashboard)/dashboard/DashboardAIOperatingCenterClient.tsx,79,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardAIOperatingCenterClient.tsx.88,Link,pendingReports,/{locale}/dashboard,/dashboard/approvals,apps/web/app/[locale]/(dashboard)/dashboard/DashboardAIOperatingCenterClient.tsx,88,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardAIOperatingCenterClient.tsx.102,Link,"tDetail(overduePrefix) t.title.slice(0, 35) t.title.length > 35 ? … :",/{locale}/dashboard,`/dashboard/tasks/${t.id}`,apps/web/app/[locale]/(dashboard)/dashboard/DashboardAIOperatingCenterClient.tsx,102,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardAIOperatingCenterClient.tsx.112,Link,"tDetail(dueTodayPrefix) t.title.slice(0, 30) t.title.length > 30 ? … :",/{locale}/dashboard,`/dashboard/tasks/${t.id}`,apps/web/app/[locale]/(dashboard)/dashboard/DashboardAIOperatingCenterClient.tsx,112,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardAIOperatingCenterClient.tsx.122,Link,tDetail(viewAllTasksArrow),/{locale}/dashboard,/dashboard/tasks,apps/web/app/[locale]/(dashboard)/dashboard/DashboardAIOperatingCenterClient.tsx,122,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardAIOperatingCenterClient.tsx.191,Link,tDetail(openFullIntelligence),/{locale}/dashboard,`/dashboard/projects/${effectiveFocus}?tab=intelligence`,apps/web/app/[locale]/(dashboard)/dashboard/DashboardAIOperatingCenterClient.tsx,191,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardAIOperatingCenterClient.tsx.205,Link,tDetail(browseProjectsArrow),/{locale}/dashboard,/dashboard/projects,apps/web/app/[locale]/(dashboard)/dashboard/DashboardAIOperatingCenterClient.tsx,205,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardAIOperatingCenterClient.tsx.276,Link,tDetail(openRelated),/{locale}/dashboard,href,apps/web/app/[locale]/(dashboard)/dashboard/DashboardAIOperatingCenterClient.tsx,276,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardAIOperatingCenterClient.tsx.285,Link,tDetail(fullRiskRadar),/{locale}/dashboard,"effectiveFocus ? `/dashboard/projects/${effectiveFocus}?tab=intelligence` : ""#""",apps/web/app/[locale]/(dashboard)/dashboard/DashboardAIOperatingCenterClient.tsx,285,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardAIOperatingCenterClient.tsx.305,Link,tDetail(openIntelligence),/{locale}/dashboard,`/dashboard/projects/${effectiveFocus}?tab=intelligence`,apps/web/app/[locale]/(dashboard)/dashboard/DashboardAIOperatingCenterClient.tsx,305,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardIntelligenceSectionClient.tsx.31,Link,t(openProjectIntelligenceTab),/{locale}/dashboard,/dashboard/projects,apps/web/app/[locale]/(dashboard)/dashboard/DashboardIntelligenceSectionClient.tsx,31,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.105,Link,value,/{locale}/dashboard,href,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,105,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.128,Link,"r.id.slice(0, 8) …",/{locale}/dashboard,`/dashboard/reports/${r.id}`,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,128,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.138,Link,t(viewAll) →,/{locale}/dashboard,/dashboard/approvals,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,138,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.156,Link,"u.id.slice(0, 8) …",/{locale}/dashboard,/dashboard/uploads,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,156,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.166,Link,t(viewAll) →,/{locale}/dashboard,/dashboard/uploads?stuck=1,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,166,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.184,Link,"w.user_id.slice(0, 8) … ( w.day_date )",/{locale}/dashboard,`/dashboard/workers/${w.user_id}`,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,184,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.194,Link,t(viewAll) →,/{locale}/dashboard,/dashboard/workers,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,194,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.212,Link,"w.user_id.slice(0, 8) … ( w.day_date )",/{locale}/dashboard,`/dashboard/workers/${w.user_id}`,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,212,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.222,Link,t(viewAll) →,/{locale}/dashboard,/dashboard/workers,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,222,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.240,Link,"a.id.slice(0, 8) … ( a.status )",/{locale}/dashboard,/dashboard/ai?status=failed,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,240,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.250,Link,t(viewAll) →,/{locale}/dashboard,/dashboard/ai?status=failed,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,250,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.268,Link,"task.title.slice(0, 30) task.title.length > 30 ? … :",/{locale}/dashboard,`/dashboard/tasks/${task.id}`,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,268,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.278,Link,t(viewAll) →,/{locale}/dashboard,`/dashboard/tasks?from=${today}&to=${today}`,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,278,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.296,Link,"task.title.slice(0, 30) task.title.length > 30 ? … :  ( task.due_date )",/{locale}/dashboard,`/dashboard/tasks/${task.id}`,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,296,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.306,Link,t(viewAll) →,/{locale}/dashboard,/dashboard/tasks?status=pending,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,306,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.324,Link,"p.id.slice(0, 8) … ( p.attempts )",/{locale}/dashboard,/admin/push?status=failed,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,324,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardOpsOverviewClient.tsx.334,Link,t(viewAll) →,/{locale}/dashboard,/admin/push?status=failed,apps/web/app/[locale]/(dashboard)/dashboard/DashboardOpsOverviewClient.tsx,334,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardPriorityActionsClient.tsx.74,Link,t(browseProjectsArrow),/{locale}/dashboard,/dashboard/projects,apps/web/app/[locale]/(dashboard)/dashboard/DashboardPriorityActionsClient.tsx,74,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardPriorityActionsClient.tsx.98,Link,t(actArrow),/{locale}/dashboard,item.href,apps/web/app/[locale]/(dashboard)/dashboard/DashboardPriorityActionsClient.tsx,98,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardRecentProjectsClient.tsx.34,Link,,/{locale}/dashboard,/projects/new,apps/web/app/[locale]/(dashboard)/dashboard/DashboardRecentProjectsClient.tsx,34,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardRecentProjectsClient.tsx.35,button,t(createOne),/{locale}/dashboard,,apps/web/app/[locale]/(dashboard)/dashboard/DashboardRecentProjectsClient.tsx,35,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardRecentProjectsClient.tsx.76,Link,tProjects(open),/{locale}/dashboard,`/projects/${p.id}`,apps/web/app/[locale]/(dashboard)/dashboard/DashboardRecentProjectsClient.tsx,76,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardRecentProjectsClient.tsx.94,Link,,/{locale}/dashboard,/projects/new,apps/web/app/[locale]/(dashboard)/dashboard/DashboardRecentProjectsClient.tsx,94,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.DashboardRecentProjectsClient.tsx.95,button,t(createOne),/{locale}/dashboard,,apps/web/app/[locale]/(dashboard)/dashboard/DashboardRecentProjectsClient.tsx,95,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.devices.DashboardDevicesClient.tsx.147,button,tDetail(exportCsv),/{locale}/dashboard/devices,exportCsv,apps/web/app/[locale]/(dashboard)/dashboard/devices/DashboardDevicesClient.tsx,147,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.devices.DashboardDevicesClient.tsx.166,Link,r.user_id,/{locale}/dashboard/devices,`/dashboard/workers/${r.user_id}`,apps/web/app/[locale]/(dashboard)/dashboard/devices/DashboardDevicesClient.tsx,166,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.governance.id.GovernanceCaseDetailClient.tsx.81,Link,t(backToCases),/{locale}/dashboard/governance/:id,/dashboard/governance,apps/web/app/[locale]/(dashboard)/dashboard/governance/[id]/GovernanceCaseDetailClient.tsx,81,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.governance.id.GovernanceCaseDetailClient.tsx.108,Link,p.project_name,/{locale}/dashboard/governance/:id,`/dashboard/projects/${p.project_id}`,apps/web/app/[locale]/(dashboard)/dashboard/governance/[id]/GovernanceCaseDetailClient.tsx,108,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.governance.id.GovernanceCaseDetailClient.tsx.158,button,updateMut.isPending ? t(saving) : t(save),/{locale}/dashboard/governance/:id,"() => {
            updateMut.mutate({
              status,
              decision_outcome: outcome.trim() || null,
            });
          }",apps/web/app/[locale]/(dashboard)/dashboard/governance/[id]/GovernanceCaseDetailClient.tsx,158,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.governance.id.GovernanceCaseDetailClient.tsx.fallback.162,button,,/{locale}/dashboard/governance/:id,onClick=,apps/web/app/[locale]/(dashboard)/dashboard/governance/[id]/GovernanceCaseDetailClient.tsx,162,fallback text scan
generated.apps.web.app.locale.dashboard.dashboard.governance.GovernanceCasesClient.tsx.140,button,showCreate ? t(cancelCreate) : t(newCase),/{locale}/dashboard/governance,() => setShowCreate((s) => !s),apps/web/app/[locale]/(dashboard)/dashboard/governance/GovernanceCasesClient.tsx,140,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.governance.GovernanceCasesClient.tsx.222,button,createMut.isPending ? t(creatingCase) : t(createCase),/{locale}/dashboard/governance,() => createMut.mutate(),apps/web/app/[locale]/(dashboard)/dashboard/governance/GovernanceCasesClient.tsx,222,generated id; no data-testid
generated.apps.web.app.locale.dashboard.dashboard.governance.GovernanceCasesClient.tsx.fallback.226,button,,/{locale}/dashboard/governance,onClick=,apps/web/app/[locale]/(dashboard)/dashboard/governance/GovernanceCasesClient.tsx,226,fallback text scan
generated.apps.web.app.locale.dashboard.dashboard.governance.GovernanceCasesClient.tsx.255,Link,c.title,/{locale}/dashboard/governance,`/dashboard/governance/${c.id}`,apps/web/app/[locale]/(dashboard)/dashboard/governance/GovernanceCasesClient.tsx,255,generated id; no data-testid
