platform,app,client_profile,source_callsite,method,path,auth_role,project_role,device_id_required,idempotency,lite_policy,local_contract,live_e2e,result,notes
Android,Worker,android_worker,HelpApi.activationStatus/helpHints/helpAssistant/helpAssistantEvent,GET/POST,/api/v1/activation/status|/api/v1/help/hints|/api/v1/help/assistant|/api/v1/help/assistant/events,member,worker,YES,mixed allowed posts,allowed,PASS,YES,PASS,Android shared HelpApi mirrors Worker help and activation calls
iOS,Manager,ios_manager,ManagerAPI.me/projects,GET,/api/v1/me|/api/v1/projects,member,manager,YES,N/A,not_lite,PASS,YES,PASS,Manager profile is not classified as lite
Android,Manager,android_manager,ManagerApi.me/projects,GET,/api/v1/me|/api/v1/projects,member,manager,YES,N/A,not_lite,PASS,YES,PASS,Android Manager discovery parity
iOS,Manager,ios_manager,ManagerAPI.opsOverview/workers/reports/reportDetail,GET,/api/v1/ops/overview|/api/v1/workers|/api/v1/reports|/api/v1/reports/:id,member,manager,YES,N/A,not_lite,PASS,YES,PASS,Manager can discover queues workers and submitted report
Android,Manager,android_manager,ManagerApi.opsOverview/reports/reportDetail,GET,/api/v1/ops/overview|/api/v1/reports|/api/v1/reports/:id,member,manager,YES,N/A,not_lite,PASS,YES,PASS,Manager read/list parity; Android media and analysis-status callsites remain active inventory
iOS,Manager,ios_manager,ManagerAPI.reportReview,PATCH,/api/v1/reports/:id,member,manager,YES,N/A,not_lite,PASS,YES,PASS,First manager profile writes changes_requested with note
Android,Manager,android_manager,ManagerApi.reportReview,PATCH,/api/v1/reports/:id,member,manager,YES,N/A,not_lite,PASS,YES,PASS,Second profile verifies reviewed state without double-transition flake
iOS,Manager,ios_manager,ManagerAPI.tasks/createTask/assignTask,GET/POST,/api/v1/tasks|/api/v1/tasks/:id|/api/v1/tasks/:id/assign,member,manager,YES,required for writes,not_lite,PASS,N/A,PASS,Native callsites inventoried; Phase 4 E2E focuses manager review not task mutation
Android,Manager,android_manager,ManagerApi.taskDetail/projectMedia/reportAnalysisStatus,GET,/api/v1/tasks/:id|/api/v1/projects/:id/media|/api/v1/reports/:id/analysis-status,member,manager,YES,N/A,not_lite,PASS,N/A,PASS,Active Android Manager read callsites; no dead callsite found in shared API wrapper
iOS,Manager,ios_manager,ManagerAPI.activationStatus/helpHints/helpAssistant/helpAssistantEvent,GET/POST,/api/v1/activation/status|/api/v1/help/hints|/api/v1/help/assistant|/api/v1/help/assistant/events,member,manager,YES,mixed allowed posts,not_lite,PASS,YES,PASS,Manager help and activation callsites remain active native inventory
Android,Manager,android_manager,HelpApi.activationStatus/helpHints/helpAssistant/helpAssistantEvent,GET/POST,/api/v1/activation/status|/api/v1/help/hints|/api/v1/help/assistant|/api/v1/help/assistant/events,member,manager,YES,mixed allowed posts,not_lite,PASS,YES,PASS,Shared Android help API applies to manager and worker surfaces
iOS,Lite,ios_lite,field-worker lite guard,GET,/api/v1/admin/metrics/overview|/api/v1/platform/health|/api/v1/billing/overview|/api/v1/ai/requests|/api/projects,member,worker,YES,N/A,forbidden,PASS,YES,PASS,Exact lite_client_path_forbidden for forbidden and legacy bypass paths
Android,Lite,android_lite,field-worker lite guard,GET,/api/v1/admin/metrics/overview|/api/v1/platform/health|/api/v1/billing/overview|/api/v1/ai/requests|/api/projects,member,worker,YES,N/A,forbidden,PASS,YES,PASS,Exact lite_client_path_forbidden for forbidden and legacy bypass paths
All,Worker/Manager,ios_worker|android_worker|ios_lite|android_lite,lite sibling bypass guard,GET,/api/v1/admin2/*|/api/v1/platform-admin/*|/api/v1/devices-admin|/api/v1/worker-evil|/api/v1/sync-evil,member,worker,YES,N/A,forbidden,PASS,YES,PASS,Handler-level guard covers Cloudflare Worker middleware bypass and sibling prefixes
All,Push,ios_worker|android_worker,device registration transport,POST,/api/v1/devices/register|/api/v1/devices/unregister,member,worker,YES,required,allowed,PASS,BLOCKED_EXTERNAL,PASS,Local transport YES; live APNS FCM and QA-token send BLOCKED_EXTERNAL
All,Idempotency,ios_worker|android_worker,legacy lite idempotency,POST,/api/v1/worker/*|/api/v1/media/upload-sessions*|/api/v1/devices/*|/api/v1/sync/ack,member,worker,YES,required,allowed,PASS,BLOCKED_EXTERNAL,PASS,Legacy replay works without claim_token; strict DB RPC blocked by unapplied rate-limit migration
