route_or_api,locale,actor,expected_access,guard,mode,unit_proof,browser_proof,result,blocker
/{locale}/platform-admin/testing/{web|mobile|backend|ai|security},all,platform_owner,allow_section,page_gate,read,roma_qa_center_routes,phase3d_positive_x3,YES,none
/{locale}/platform-admin/testing/audits,all,platform_owner,redirect_safe_audit,legacy_redirect,read,roma_qa_center_routes.test,phase3d_positive_x3,YES,none
/{locale}/platform-admin/testing/history,all,platform_owner,redirect_audit_runs,legacy_redirect,read,roma_qa_center_routes.test,phase3d_positive_x3,YES,none
/{locale}/platform-admin/testing/regression,all,platform_owner,redirect_change_intelligence,legacy_redirect,read,roma_qa_center_routes.test,phase3d_positive_x3,YES,none
/{locale}/platform-admin/testing/coverage,all,platform_owner,redirect_quality_graph,legacy_redirect,read,roma_qa_center_routes.test,phase3d_positive_x3,YES,none
/{locale}/platform-admin/testing/performance,all,platform_owner,redirect_testing_home,legacy_redirect,read,roma_qa_center_routes.test,phase3d_positive_x3,YES,none
/{locale}/platform-admin/testing/reports,all,platform_owner,redirect_testing_home,legacy_redirect,read,roma_qa_center_routes.test,phase3d_positive_x3,YES,none
GET_/api/v1/platform/overview,n/a,platform_owner,200,requirePlatformOwnerApi_read,read,overview.route.test+inventory,phase3d_positive_x3,YES,none
GET_/api/v1/platform/overview,n/a,auth_tenant_admin_no_grant,403_owner_gate,requirePlatformOwnerApi_read,read,require-platform-owner-api.test,phase3d_negative_x3,YES,none
GET_/api/v1/platform/overview,n/a,anonymous,403_owner_gate,requirePlatformOwnerApi_read,read,require-platform-owner-api.test,phase3d_anonymous_x3,YES,none
GET_/api/v1/platform/billing/provider-status,n/a,platform_owner,200,requirePlatformOwnerApi_read,read,provider-status.route.test,phase3d_positive_x3,YES,none
POST_/api/v1/platform/testing/safe-audit/refresh,n/a,platform_owner,200_non_persistent,requirePlatformOwnerApi_read+exact_path,read_mode_post_exception,owner-capabilities+refresh.route.test,phase3d_positive_x3,YES,none
POST_/api/v1/platform/testing/safe-audit/refresh,n/a,auth_tenant_admin_no_grant,403,requirePlatformOwnerApi_read,read,require-platform-owner-api.test,phase3d_negative_x3,YES,none
POST_/api/v1/platform/testing/safe-audit/refresh,n/a,anonymous,403,requirePlatformOwnerApi_read,read,require-platform-owner-api.test,phase3d_anonymous_x3,YES,none
POST_/api/v1/platform/testing/safe-audit/save,n/a,required_phase3d_e2e,must_not_call,network_guard,write,phase3d_taxonomy,phase3d_positive_mutation_guard,YES,none
GET_/api/v1/owner/health,n/a,auth_tenant_admin_no_grant,403,requirePlatformOwnerApi_via_delegate,read,legacy-owner-api.test,phase3d_negative_x3,YES,none
GET_/api/v1/admin/billing/pilot-status,n/a,auth_tenant_admin_no_grant,403,middleware+delegate_gate,read,middleware.platform-alias-gate,phase3d_negative_x3,YES,none
POST_/api/v1/admin/flags,n/a,auth_tenant_admin_no_grant,403_write,requirePlatformOwnerApi_write,write,flags.route.gate.test,phase3d_negative_x3,YES,none
POST_/api/v1/admin/flags,n/a,OWNER_READONLY,403_write,requirePlatformOwnerApi_write,write,flags.route.gate.test,n/a,PASS_local,n/a
/api/v1/platformish,n/a,any,not_platform_classified,segment_safe_prefix,n/a,platform-api-middleware-exceptions,n/a,PASS_local,n/a
/platform-admin-evil,n/a,any,not_platform_classified,segment_safe_page_path,n/a,middleware-paths.test,n/a,PASS_local,n/a
historical_BLOCKED_EXTERNAL_2026-07-28_pre_unlock,n/a,n/a,browser_not_started,preflight_missing_negative_persona,n/a,n/a,n/a,HISTORICAL,owner_authorized_fixture_unlocked
