surface,canonical_route,locale_behavior,persona,expected_unauthenticated_behavior,expected_authenticated_behavior,governing_layout_middleware_gate,existing_automated_coverage,observed_phase3a_result,credential_requirement,blocker_or_next_batch
protected_unlocalized_dashboard,/dashboard,en via 308 then gate,guest,308 → /en/dashboard → login,same,middleware early /dashboard 308,phase3a,PASS,none,—
protected_tenant_admin,/{locale}/admin,ru|en|es|it,guest,redirect → login,tenant company admin only (not platform owner),middleware /admin,phase3a,PASS_guest_redirect,QA tenant owner/admin,3B
protected_client_portal,/{locale}/portal,ru|en|es|it,guest,redirect → login,client/stakeholder (not tenant member),middleware /portal,phase3a,PASS_guest_redirect,QA_CLIENT_*,3C_client_portal_web_flow
protected_owner_cabinet,/{locale}/owner,ru|en|es|it,guest,redirect → login,platform owner (distinct from tenant owner),isPlatformAdminPagePath,phase3a,PASS_guest_redirect,QA_PLATFORM_OWNER_*,3D_platform_admin_operations_center_flow
protected_platform_admin,/{locale}/platform-admin,ru|en|es|it,guest,redirect → login,platform owner,isPlatformAdminPagePath + gateOwnerRequest,phase3a,PASS_guest_redirect,QA_PLATFORM_OWNER_*,3D
protected_operations_center,/{locale}/platform-admin/testing,ru|en|es|it,guest,redirect → login,platform owner read-only OC,isPlatformAdminPagePath,phase3a,PASS_guest_redirect,QA_PLATFORM_OWNER_*,3D
protected_projects_billing_portfolio_subscribe,/{locale}/(projects|billing|portfolio|subscribe),ru|en|es|it,guest,redirect → login,role-dependent,middleware PROTECTED_PREFIXES,phase3a,PASS_guest_redirect,role creds,3B/3E
persona_guest,—,all,guest,public OK; protected → login,N/A,middleware,phase3a,PASS,none,—
persona_tenant_owner,—,all,tenant_owner,N/A_in_3A,dashboard+admin (not platform-admin),RBAC tenant,none_executed,DEFERRED,QA_OWNER_* or E2E_*,3B then 3E
persona_manager,—,all,manager,N/A_in_3A,contractor dashboard ops,RBAC,none_executed,DEFERRED,QA_MANAGER_*,3B/3E
persona_worker_member,—,all,worker,N/A_in_3A,limited dashboard/mobile,RBAC,none_executed,DEFERRED,QA_WORKER_*,3E
persona_client_stakeholder,—,all,client,N/A_in_3A,portal only; no internal finance,portal gates,none_executed,DEFERRED,QA_CLIENT_*,3C/3E
persona_platform_owner,—,all,platform_owner,N/A_in_3A,platform-admin/OC; not tenant admin substitute,platform_owner_grants,none_executed,DEFERRED,QA_PLATFORM_OWNER_*,3D/3E
